TIME,VALUE,Device ID
534295,2471,1
534315,2465,1
534335,2469,1
534355,2471,1
534375,2475,1
534395,2463,1
534415,2475,1
534435,2476,1
534455,2469,1
534475,2473,1
534495,2464,1
534515,2459,1
534535,2461,1
534555,2462,1
534575,2464,1
534595,2467,1
534615,2467,1
534635,2467,1
534655,2467,1
534675,2465,1
534695,2467,1
534715,2465,1
534735,2481,1
534755,2470,1
534775,2498,1
534795,2477,1
534815,2467,1
534835,2474,1
534855,2475,1
534875,2468,1
534895,2469,1
534915,2467,1
534935,2470,1
534955,2471,1
534975,2475,1
534995,2467,1
535015,2467,1
535035,2462,1
535055,2468,1
535075,2466,1
535095,2471,1
535115,2470,1
535135,2470,1
535155,2467,1
535175,2464,1
535195,2464,1
535215,2466,1
535235,2467,1
535255,2458,1
535275,2467,1
535295,2456,1
535315,2469,1
535335,2461,1
535355,2466,1
535375,2438,1
535395,2474,1
535415,2464,1
535435,2473,1
535455,2471,1
535475,2459,1
535495,2474,1
535515,2467,1
535535,2462,1
535555,2441,1
535575,2463,1
535595,2463,1
535615,2458,1
535635,2466,1
535655,2463,1
535675,2474,1
535695,2463,1
535715,2477,1
535735,2470,1
535755,2467,1
535775,2476,1
535795,2467,1
535815,2470,1
535835,2465,1
535855,2474,1
535875,2475,1
535895,2482,1
535915,2467,1
535935,2473,1
535955,2474,1
535975,2473,1
535995,2467,1
536015,2465,1
536035,2474,1
536055,2466,1
536075,2465,1
536095,2466,1
536115,2467,1
536135,2475,1
536155,2463,1
536175,2478,1
536195,2461,1
536215,2472,1
536235,2465,1
536255,2471,1
536275,2470,1
536295,2467,1
536315,2474,1
536335,2467,1
536355,2480,1
536375,2463,1
536395,2466,1
536415,2470,1
536435,2465,1
536455,2466,1
536475,2457,1
536495,2465,1
536515,2460,1
536535,2471,1
536555,2455,1
536575,2466,1
536595,2455,1
536615,2465,1
536635,2469,1
536655,2448,1
536675,2467,1
536695,2470,1
536715,2479,1
536735,2470,1
536755,2491,1
536775,2479,1
536795,2467,1
536815,2465,1
536835,2467,1
536855,2473,1
536875,2467,1
536895,2475,1
536915,2475,1
536935,2471,1
536955,2364,1
536975,2471,1
536995,2467,1
537015,2443,1
537035,2468,1
537055,2469,1
537075,2475,1
537095,2485,1
537115,2463,1
537135,2460,1
537155,2465,1
537175,2471,1
537195,2471,1
537215,2454,1
537235,2465,1
537255,2448,1
537275,2462,1
537295,2461,1
537345,2461,1
537365,2462,1
537385,2445,1
537415,2459,1
537425,2465,1
537435,2466,1
537445,2465,1
537455,2469,1
537475,2467,1
537495,2465,1
537515,2471,1
537535,2466,1
537555,2465,1
537575,2467,1
537595,2468,1
537615,2402,1
537635,2462,1
537665,2458,1
537675,2462,1
537695,2462,1
537715,2473,1
537735,2474,1
537755,2466,1
537775,2475,1
537795,2475,1
537815,2470,1
537835,2468,1
537855,2471,1
537875,2467,1
537895,2466,1
537915,2479,1
537935,2473,1
537955,2471,1
537975,2471,1
537995,2469,1
538015,2467,1
538035,2459,1
538055,2450,1
538075,2474,1
538095,2466,1
538115,2470,1
538135,2474,1
538155,2454,1
538175,2474,1
538195,2435,1
538215,2470,1
538235,2471,1
538255,2463,1
538275,2477,1
538295,2468,1
538315,2475,1
538335,2478,1
538355,2464,1
538375,2467,1
538395,2464,1
538415,2469,1
538435,2464,1
538455,2480,1
538475,2475,1
538495,2448,1
538515,2464,1
538535,2480,1
538555,2467,1
538575,2470,1
538595,2466,1
538615,2467,1
538635,2474,1
538655,2467,1
538675,2462,1
538705,2462,1
538715,2454,1
538735,2461,1
538755,2469,1
538775,2467,1
538795,2470,1
538815,2471,1
538835,2463,1
538855,2460,1
538875,2457,1
538895,2466,1
538915,2464,1
538935,2466,1
538955,2462,1
538975,2466,1
538995,2467,1
539015,2510,1
539035,2467,1
539055,2467,1
539075,2469,1
539095,2475,1
539115,2469,1
539135,2469,1
539155,2465,1
539175,2469,1
539195,2467,1
539215,2474,1
539235,2469,1
539255,2480,1
539275,2466,1
539295,2469,1
539315,2479,1
539335,2469,1
539355,2448,1
539375,2469,1
539395,2468,1
539415,2466,1
539435,2464,1
539455,2462,1
539475,2466,1
539495,2476,1
539515,2467,1
539535,2475,1
539555,2470,1
539575,2473,1
539595,2469,1
539615,2474,1
539635,2467,1
539655,2465,1
539675,2457,1
539695,2459,1
539715,2463,1
539735,2465,1
539755,2475,1
539775,2466,1
539795,2469,1
539815,2468,1
539835,2482,1
539855,2455,1
539875,2469,1
539895,2477,1
539915,2482,1
539935,2466,1
539955,2478,1
539975,2471,1
539995,2483,1
540015,2463,1
540035,2477,1
540055,2479,1
540075,2465,1
540095,2471,1
540115,2470,1
540135,2466,1
540155,2470,1
540175,2480,1
540195,2460,1
540215,2467,1
540235,2465,1
540255,2475,1
540275,2468,1
540295,2469,1
540315,2463,1
540335,2479,1
540355,2473,1
540375,2471,1
540395,2467,1
540415,2475,1
540435,2527,1
540455,2464,1
540475,2469,1
540495,2464,1
540515,2475,1
540535,2466,1
540555,2465,1
540575,2466,1
540595,2466,1
540615,2470,1
540635,2467,1
540655,2474,1
540675,2453,1
540695,2477,1
540715,2466,1
540735,2469,1
540755,2465,1
540775,2271,1
540795,2463,1
540815,2462,1
540835,2454,1
540855,2474,1
540875,2463,1
540895,2457,1
540915,2458,1
540935,2469,1
540955,2462,1
540975,2477,1
540995,2477,1
541015,2469,1
541035,2466,1
541055,2465,1
541075,2465,1
541095,2474,1
541115,2470,1
541135,2476,1
541155,2468,1
541175,2467,1
541195,2474,1
541215,2467,1
541235,2466,1
541255,2480,1
541275,2470,1
541295,2467,1
541315,2470,1
541335,2470,1
541355,2477,1
541375,2470,1
541395,2469,1
541415,2466,1
541435,2465,1
541455,2466,1
541495,2464,1
541525,2463,1
541545,2469,1
541575,2468,1
541585,2463,1
541595,2459,1
541605,2467,1
541615,2463,1
541635,2465,1
541655,2474,1
541675,2442,1
541695,2469,1
541715,2466,1
541735,2466,1
541755,2475,1
541775,2463,1
541795,2449,1
541815,2459,1
541835,2469,1
541855,2468,1
541875,2465,1
541895,2466,1
541915,2469,1
541935,2469,1
541955,2479,1
541975,2467,1
541995,2482,1
542015,2465,1
542035,2470,1
542055,2471,1
542075,2483,1
542095,2475,1
542115,2470,1
542135,2467,1
542155,2472,1
542175,2464,1
542195,2469,1
542215,2475,1
542235,2469,1
542255,2471,1
542275,2470,1
542295,2466,1
542315,2473,1
542335,2461,1
542355,2461,1
542375,2466,1
542395,2469,1
542415,2480,1
542435,2465,1
542455,2467,1
542475,2477,1
542495,2467,1
542515,2466,1
542535,2496,1
542555,2471,1
542575,2474,1
542595,2462,1
542615,2466,1
542635,2473,1
542655,2470,1
542675,2467,1
542695,2470,1
542715,2470,1
542735,2478,1
542755,2467,1
542775,2463,1
542795,2474,1
542815,2470,1
542835,2464,1
542855,2459,1
542875,2461,1
542895,2461,1
542915,2464,1
542935,2445,1
542955,2475,1
542975,2464,1
542995,2467,1
543015,2467,1
543035,2489,1
543055,2471,1
543075,2464,1
543095,2462,1
543115,2473,1
543135,2465,1
543155,2461,1
543175,2471,1
543195,2475,1
543215,2467,1
543235,2475,1
543255,2468,1
543275,2473,1
543295,2467,1
543315,2467,1
543335,2467,1
543355,2465,1
543375,2474,1
543395,2461,1
543415,2471,1
543435,2469,1
543455,2466,1
543475,2469,1
543495,2486,1
543515,2467,1
543535,2468,1
543555,2469,1
543575,2471,1
543595,2470,1
543615,2463,1
543635,2465,1
543655,2469,1
543675,2479,1
543695,2479,1
543715,2466,1
543735,2459,1
543755,2478,1
543775,2470,1
543795,2476,1
543815,2465,1
543835,2470,1
543855,2463,1
543875,2466,1
543895,2473,1
543915,2459,1
543935,2460,1
543955,2463,1
543975,2458,1
543995,2466,1
544015,2474,1
544035,2466,1
544055,2465,1
544075,2469,1
544095,2467,1
544115,2470,1
544135,2463,1
544155,2465,1
544175,2470,1
544195,2471,1
544215,2470,1
544235,2469,1
544255,2467,1
544275,2462,1
544295,2469,1
544315,2443,1
544335,2465,1
544355,2474,1
544375,2467,1
544395,2470,1
544415,2461,1
544435,2471,1
544455,2464,1
